title,techniques,result,cohort,duration,sample_size,techniques_count,techniques_weighted_result
"Flowers or a robot army?: Encouraging awareness & activity with personal, mobile displays",5|29,0.5,General population,12.0,28,2,0.25
Pediluma: Motivating physical activity through contextual information and social influence,5|23,1.0,General population,2.0,18,2,0.5
Physical activity motivating games: Virtual rewards for real activity,23,1.0,Children,,180,1,1.0
Physical activity motivating games: Virtual rewards for real activity,9,1.0,Children,,180,1,1.0
Physical activity motivating games: Virtual rewards for real activity,23|9,1.0,Children,,180,2,0.5
Motivating physical activity at work: Using persuasive social media extensions for simple mobile devices,23|25|27|29,1.0,Office workers,3.0,10,4,0.25
A walking intervention for postmenopausal women using mobile phones an interactive voice response,3|5|8|10|11|14|19|29,0.5,Women only,60.0,71,8,0.0625
Text messages for encouraging physical activity: Are they effective after the novelty effect wears off?,1|2|4|8|9|11|16|24|25|29,1.0,University students,12.0,49,10,0.1
Using text messages to bridge the intention-behavior gap? A pilot study on the use of text message reminders to increase objectively assessed physical activity in daily life,10,0.5,Inactive population|General population,2.0,63,1,0.5
Toward a persuasive mobile application to reduce sedentary behavior,10,0.0,Office workers|General population,6.0,86,1,0.0
A randomized controlled trial of an automated exercise coach for older adults,12|29,0.0,Elderly,48.0,263,2,0.0
A randomized controlled trial of an automated exercise coach for older adults,12,1.0,Elderly,48.0,263,1,1.0
Harnessing social dynamics through persuasive technology to promote healthier lifestyle,23,0.0,Women only,2.0,8,1,0.0
An Application of Cloud Physical Activity Promotion System on High School Female Students’ Physical Activity,5,0.0,Uiversity students|Women only,12.0,62,1,0.0
Assessing the user experience design as a persuasive methodology in a real world sport application,13|29,1.0,Amateur athletes,12.0,40,2,0.5
Assessing the user experience design as a persuasive methodology in a real world sport application,13,1.0,Amateur athletes,12.0,40,1,1.0
Harnessing Different Motivational Frames via Mobile Phones to Promote Daily Physical Activity and Reduce Sedentary Behavior in Aging Adults,1|4|8|11|29,1.0,Inactive population|Elderly,8.0,68,5,0.2
Harnessing Different Motivational Frames via Mobile Phones to Promote Daily Physical Activity and Reduce Sedentary Behavior in Aging Adults,22|23|24|26|27,1.0,Inactive population|Elderly,8.0,68,5,0.2
Harnessing Different Motivational Frames via Mobile Phones to Promote Daily Physical Activity and Reduce Sedentary Behavior in Aging Adults,3|9|12|29,1.0,Inactive population|Elderly,8.0,68,4,0.25
Towards health exercise behavior change for teams using life-logging,25|26|27,0.5,Amateur athletes,3.0,64,3,0.16666666666666666
Understanding users' disengagement with wearable activity trackers,4|29,0.5,General population,4.0,58,2,0.25
Understanding users' disengagement with wearable activity trackers,4|10|11,0.5,General population,4.0,58,3,0.16666666666666666
Preliminary efficacy of prize-based contingency management to increase activity levels in healthy adults,4|9,1.0,University students,3.0,15,2,0.5
Preliminary efficacy of prize-based contingency management to increase activity levels in healthy adults,4|9,1.0,University students,3.0,15,2,0.5
StepCity: A preliminary investigation of a personal informatics-based social game on behavior change,9|27|28,0.0,General population,4.0,74,3,0.0
A Cluster-Randomized Trial on Small Incentives to Promote Physical Activity,9|29,0.0,General population,24.0,1547,2,0.0
HealthyTogether: Exploring social incentives for mobile fitness applications,26|29,1.0,General population,1.0,36,2,0.5
HealthyTogether: Exploring social incentives for mobile fitness applications,27,0.0,General population,1.0,36,1,0.0
HealthyTogether: Exploring social incentives for mobile fitness applications,26,1.0,General population,1.0,36,1,1.0
HealthyTogether: Exploring social incentives for mobile fitness applications,27,0.0,General population,1.0,36,1,0.0
Social incentives in pervasive fitness apps for obese and diabetic patients,1|5|22|26|27|29,0.0,Obese population|Patients with diabetes,4.0,16,6,0.0
Social incentives in pervasive fitness apps for obese and diabetic patients,1|5|22|26|27|29,0.0,Obese population|Patients with diabetes,4.0,16,6,0.0
A mobile health intervention for weight management among young adults: A pilot randomised controlled trial,2|3|11|22,-1.0,Inactive population|General population,12.0,51,4,-0.25
A mobile health intervention for weight management among young adults: A pilot randomised controlled trial,2|3|11|22,0.0,Inactive population|General population,12.0,51,4,0.0
